execution_date,quote_time,symbol,name,target_weight,invest_ratio,target_value,buy_reference_price,price_source,shares,gross_amount,buy_commission_rate,buy_commission_estimate,buy_tax_rate,buy_tax_estimate,total_buy_cost,future_sell_tax_rate_estimate,future_sell_tax_estimate,remaining_cash_after_order,status
2026-06-03,20260603 10:21:55,2412,中華電,0.25000000,0.75,93750.00,143.0000,ask1,654,93522.00,0.001425,133,0,0,93655.00,0.003,281,406345.00,ready
2026-06-03,20260603 10:21:56,2881,富邦金,0.07217909,0.75,27067.16,114.0000,ask1,237,27018.00,0.001425,39,0,0,27057.00,0.003,81,379288.00,ready
2026-06-03,20260603 10:21:49,00713,元大台灣高息低波,0.06482364,0.75,24308.87,59.7500,ask1,406,24258.50,0.001425,35,0,0,24293.50,0.001,24,354994.50,ready
2026-06-03,20260603 10:21:54,006208,富邦台50,0.06243347,0.75,23412.55,249.2000,ask1,93,23175.60,0.001425,33,0,0,23208.60,0.001,23,331785.90,ready
2026-06-03,20260603 10:21:50,2330,台積電,0.06094939,0.75,22856.02,2430.0000,ask1,9,21870.00,0.001425,31,0,0,21901.00,0.003,66,309884.90,ready
2026-06-03,20260603 10:21:56,2882,國泰金,0.05971288,0.75,22392.33,91.5000,ask1,244,22326.00,0.001425,32,0,0,22358.00,0.003,67,287526.90,ready
2026-06-03,20260603 10:21:54,00878,國泰永續高股息,0.05826169,0.75,21848.13,33.2500,ask1,656,21812.00,0.001425,31,0,0,21843.00,0.001,22,265683.90,ready
2026-06-03,20260603 10:21:45,0056,元大高股息,0.05315043,0.75,19931.41,53.6000,ask1,371,19885.60,0.001425,28,0,0,19913.60,0.001,20,245770.30,ready
2026-06-03,20260603 10:21:49,00919,群益台灣精選高息,0.05302309,0.75,19883.66,30.7200,ask1,646,19845.12,0.001425,28,0,0,19873.12,0.001,20,225897.18,ready
2026-06-03,20260603 10:21:50,00881,國泰台灣5G+,0.05249801,0.75,19686.75,56.3000,ask1,349,19648.70,0.001425,28,0,0,19676.70,0.001,20,206220.48,ready
2026-06-03,20260603 10:21:55,2303,聯電,0.04848494,0.75,18181.85,135.0000,ask1,134,18090.00,0.001425,26,0,0,18116.00,0.003,54,188104.48,ready
2026-06-03,20260603 10:21:50,2454,聯發科,0.04838778,0.75,18145.42,4455.0000,ask1,4,17820.00,0.001425,25,0,0,17845.00,0.003,53,170259.48,ready
2026-06-03,20260603 10:21:55,2317,鴻海,0.04234011,0.75,15877.54,312.0000,ask1,50,15600.00,0.001425,22,0,0,15622.00,0.003,47,154637.48,ready
2026-06-03,20260603 10:21:50,1301,台塑,0.03947023,0.75,14801.34,52.5000,ask1,281,14752.50,0.001425,21,0,0,14773.50,0.003,44,139863.98,ready
2026-06-03,20260603 10:21:54,0050,元大台灣50,0.03428525,0.75,12856.97,107.6000,ask1,119,12804.40,0.001425,18,0,0,12822.40,0.001,13,127041.58,ready
