build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,target_weight,target_value,shares,market_value,remaining_cash
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,0050,元大台灣50,,0.07840735,0.27034766,22,0.18074380,0.05356865,26784.32,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,0056,元大高股息,,0.08159204,0.15955225,31,0.16563803,0.05356915,26784.58,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,00878,國泰永續高股息,,0.05482456,0.14354673,22,0.07898337,0.05357578,26787.89,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,006208,富邦台50,,0.07805134,0.25236641,23,0.17533340,0.05356882,26784.41,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,00713,元大台灣高息低波,,0.02953419,0.13854167,25,0.02288289,0.05360681,26803.41,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,00881,國泰台灣5G+,,0.10327571,0.29988913,24,0.25431058,0.05356705,26783.52,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,00919,群益台灣精選高息,,0.06627219,0.15883430,26,0.11937946,0.05357149,26785.75,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2330,台積電,,0.09512195,0.36321816,21,0.25202672,0.05356708,26783.54,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2317,鴻海,,0.11320755,0.82291670,34,0.48584698,0.05356517,26782.59,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2454,聯發科,,0.19500000,0.41306330,28,0.52068039,0.05356504,26782.52,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2303,聯電,,0.08458647,0.24660124,27,0.19646624,0.05356821,26784.10,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2881,富邦金,,0.07142857,0.17218608,17,0.11913557,0.05357151,26785.75,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2882,國泰金,,0.04835165,0.26303555,34,0.12980107,0.05357082,26785.41,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,2412,中華電,,0.02766798,0.13004685,17,0.00000100,0.25000000,125000.00,,,500000.00
2026-06-04,2024-01-02,2024-06-28,2026-06-04,pending_open_price,drawdown-risk,0,1301,台塑,,0.28030303,0.17419698,95,0.76593117,0.05356442,26782.21,,,500000.00
