mark_date,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct
2026-06-03,20260603 13:30:00,2412,中華電,654,143.0000,93655.00,141.0000,last,92214.00,-1441.00,-0.015386
2026-06-03,20260603 13:30:00,2881,富邦金,237,114.0000,27057.00,113.0000,last,26781.00,-276.00,-0.010201
2026-06-03,20260603 13:30:00,00713,元大台灣高息低波,406,59.7500,24293.50,59.8500,last,24299.10,5.60,0.000231
2026-06-03,20260603 13:30:00,006208,富邦台50,93,249.2000,23208.60,248.8000,last,23138.40,-70.20,-0.003025
2026-06-03,20260603 13:30:00,2330,台積電,9,2430.0000,21901.00,2425.0000,last,21825.00,-76.00,-0.003470
2026-06-03,20260603 13:30:00,2882,國泰金,244,91.5000,22358.00,91.8000,last,22399.20,41.20,0.001843
2026-06-03,20260603 13:30:00,00878,國泰永續高股息,656,33.2500,21843.00,33.3000,last,21844.80,1.80,0.000082
2026-06-03,20260603 13:30:00,0056,元大高股息,371,53.6000,19913.60,53.8000,last,19959.80,46.20,0.002320
2026-06-03,20260603 13:30:00,00919,群益台灣精選高息,646,30.7200,19873.12,30.7800,last,19883.88,10.76,0.000541
2026-06-03,20260603 13:30:00,00881,國泰台灣5G+,349,56.3000,19676.70,56.0500,last,19561.45,-115.25,-0.005857
2026-06-03,20260603 13:30:00,2303,聯電,134,135.0000,18116.00,130.5000,last,17487.00,-629.00,-0.034721
2026-06-03,20260603 13:30:00,2454,聯發科,4,4455.0000,17845.00,4545.0000,last,18180.00,335.00,0.018773
2026-06-03,20260603 13:30:00,2317,鴻海,50,312.0000,15622.00,309.0000,last,15450.00,-172.00,-0.011010
2026-06-03,20260603 13:30:00,1301,台塑,281,52.5000,14773.50,52.0000,last,14612.00,-161.50,-0.010932
2026-06-03,20260603 13:30:00,0050,元大台灣50,119,107.6000,12822.40,107.6000,last,12804.40,-18.00,-0.001404
