mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-06-16,intraday,2026-06-16T18:28:40,2412,中華電,654,143.0,93655.0,146.5,close,95811.0,2156.0,0.02302066093641557,35,12778,1870201000,ready
2026-06-16,intraday,2026-06-16T18:28:40,2881,富邦金,237,114.0,27057.0,132.0,close,31284.0,4227.0,0.1562257456480763,74,39819,5206238000,ready
2026-06-16,intraday,2026-06-16T18:28:40,00713,元大台灣高息低波,406,59.75,24293.5,60.75,close,24664.5,371.0,0.015271574701051721,17,5317,322749950,ready
2026-06-16,intraday,2026-06-16T18:28:40,006208,富邦台50,93,249.2,23208.6,245.35,close,22817.55,-391.0499999999993,-0.016849357565729913,22,2881,705010650,ready
2026-06-16,intraday,2026-06-16T18:28:40,2330,台積電,9,2430.0,21901.0,2400.0,close,21600.0,-301.0,-0.013743664672845988,373,29540,70267135000,ready
2026-06-16,intraday,2026-06-16T18:28:40,2882,國泰金,244,91.5,22358.0,109.5,close,26718.0,4360.0,0.19500849807675105,76,53945,5828432000,ready
2026-06-16,intraday,2026-06-16T18:28:40,00878,國泰永續高股息,656,33.25,21843.0,32.91,close,21588.96,-254.04000000000087,-0.011630270567229817,185,48546,1595350080,ready
2026-06-16,intraday,2026-06-16T18:28:40,0056,元大高股息,371,53.6,19913.6,51.55,close,19125.05,-788.5499999999993,-0.039598565804274434,87,29694,1533005600,ready
2026-06-16,intraday,2026-06-16T18:28:40,00919,群益台灣精選高息,646,30.72,19873.12,29.97,close,19360.62,-512.5,-0.025788602896777157,200,176702,5277908210,ready
2026-06-16,intraday,2026-06-16T18:28:40,00881,國泰台灣5G+,349,56.3,19676.7,54.85,close,19142.65,-534.0499999999993,-0.027141238114114626,21,8966,491750350,ready
2026-06-16,intraday,2026-06-16T18:28:40,2303,聯電,134,135.0,18116.0,141.0,close,18894.0,778.0,0.04294546257451976,311,233101,33007125000,ready
2026-06-16,intraday,2026-06-16T18:28:40,2454,聯發科,4,4455.0,17845.0,4560.0,close,18240.0,395.0,0.022135051835247967,15,9682,43691975000,ready
2026-06-16,intraday,2026-06-16T18:28:40,2317,鴻海,37,312.0,11560.28,269.0,close,9953.0,-1607.2800000000007,-0.13903469466137502,132,54800,14733155500,ready
2026-06-16,intraday,2026-06-16T18:28:40,1301,台塑,210,52.5,11040.69,46.75,close,9817.5,-1223.1900000000005,-0.11078927132271628,59,25955,1235726700,ready
2026-06-16,intraday,2026-06-16T18:28:40,0050,元大台灣50,119,107.6,12822.4,105.9,close,12602.1,-220.29999999999927,-0.017180870975792305,237,66988,7070277550,ready
